state_code,household_size,household_weight,household_agi,employment_income,fed_income_tax,ca_income_tax,filing_status,is_married_couple,size_bucket,consumption_allowance,rebate_after_phaseout,excess_over_threshold,allowance_no_phaseout,allowance_phaseout
CA,2,1.2475004,22497.37109375,25142.857421875,0.0,-62.136383056640625,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,1,6658.277,24792.72265625,0.0,569.3767700195312,2.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,4,932.47815,41603.64453125,36666.66796875,-1659.584716796875,4.0,mfj,1,4,39440.0,39440.0,0.0,39440.0,39440.0
CA,1,1641.43,125349.8203125,28285.71484375,19622.45703125,7513.15087890625,single,0,1,14580.0,0.0,75349.8203125,14580.0,0.0
CA,3,5917.5566,117857.451171875,94285.7109375,11604.9384765625,4255.60400390625,mfj,1,3,34300.0,28174.894248046872,17857.451171875,34300.0,28174.894248046872
CA,2,169.13554,44432.77734375,0.0,970.6222534179688,4.0,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,1,863.38464,0.7287788391113281,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,5,1573.8939,15798.76171875,17704.76171875,-10110.71484375,-1847.17626953125,single,0,5,35140.0,35140.0,0.0,35140.0,35140.0
CA,2,34.95702,138366.328125,139459.046875,14122.591796875,4817.38623046875,mfj,1,2,29160.0,17972.37871875,38366.328125,29160.0,17972.37871875
CA,1,367.58398,40489.546875,0.0,2640.74560546875,45.489105224609375,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,3,187.9022,196742.7109375,197999.99609375,22940.34490966797,8085.250915527344,mfj,1,3,34300.0,1117.2501484375007,96742.7109375,34300.0,1117.2501484375007
CA,1,11.198361,180954.75,75428.5703125,31688.943359375,12574.93359375,single,0,1,14580.0,0.0,130954.75,14580.0,0.0
CA,1,178271.33,181104.015625,10476.1904296875,22929.68359375,12737.8154296875,single,0,1,14580.0,0.0,131104.015625,14580.0,0.0
CA,2,632.7382,75497.78125,0.0,4719.73388671875,4.0,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,3,1276.3973,42042.56213760376,0.0,2867.35009765625,3.0,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,5,98.397934,50154.063232421875,36666.66796875,511.2088317871094,-1041.4640655517578,single,0,5,35140.0,35031.72436025391,154.063232421875,35140.0,35031.72436025391
CA,3,2364.0627,62857.14453125,62857.14453125,3202.857421875,246.00579833984375,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,5,103215.78,46738.8828125,47142.85546875,-8390.009765625,4.0,mfj,1,5,44580.0,44580.0,0.0,44580.0,44580.0
CA,1,14872.607,51378.328125,36666.66796875,3947.3994140625,272.5267333984375,single,0,1,14580.0,14178.07951875,1378.328125,14580.0,14178.07951875
CA,2,992.8001,95655.328125,0.0,7060.6875,5.0,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,2,0.009437118,85275.74609375,86114.28515625,6265.089599609375,1382.7498168945312,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,2,128.52414,1668275.46875,1623808.4375,525126.984375,170439.47265625,mfj,1,2,29160.0,0.0,1568275.46875,29160.0,0.0
CA,1,82.820915,19747.90234375,0.0,411.83221435546875,-113.96723175048828,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,1,903.5156,26533.333984375,29333.333984375,1200.0001220703125,80.65264129638672,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,2,191361.58,26651.111328125,25142.857421875,0.0,-62.136383056640625,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,1,590.0026,171399.640625,170761.90625,27340.462890625,9452.69140625,single,0,1,14580.0,0.0,121399.640625,14580.0,0.0
CA,3,104.62913,102.02903747558594,4190.47607421875,0.0,0.0,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,2,154.15535,365059.203125,341523.796875,61519.267578125,24105.9384765625,mfj,1,2,29160.0,0.0,265059.203125,29160.0,0.0
CA,7,110.96071,38743.32373046875,52380.953125,-8140.755371093749,3.0,mfj,1,7,54860.0,54860.0,0.0,54860.0,54860.0
CA,1,2.6701622,11920.10546875,0.0,0.0,1.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,2,161.59538,152730.078125,151904.7578125,16916.03125,5826.18115234375,mfj,1,2,29160.0,13783.90921875,52730.078125,29160.0,13783.90921875
CA,3,33019.992,405803.16796875,415276.17578125,97266.1640625,31247.185546875,mfj,1,3,34300.0,0.0,305803.16796875,34300.0,0.0
CA,1,18.12796,0.0,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,2,0.021811312,82605.49609375,82790.19140625,5944.659423828125,1327.449462890625,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,1,272.9556,0.0,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,2,665.6629,232579.322265625,23047.619140625,35046.80096435547,13083.805625915527,mfj,1,2,29160.0,0.0,132579.322265625,29160.0,0.0
CA,1,8779.785,11005.1015625,11000.0,0.0,-196.38931274414062,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
