household_agi,household_size,filing_status,household_weight,rebate_flat,rebate_flat_base
13226.1904296875,1,single,2457.9104,1700.0,1700.0
314759.34375,2,mfj,943.375,0.0,3400.0
8481.5029296875,2,mfj,152.3886,3400.0,3400.0
143404.890625,2,mfj,794.8296,1229.75546875,3400.0
117506.859375,4,single,77419.92,3424.65703125,6800.0
170631.1826171875,4,mfj,437.0458,3268.4408691406247,6800.0
30847.80078125,1,single,5155.96,1700.0,1700.0
254281.53125,2,mfj,8187.188,0.0,3400.0
144602.796875,3,mfj,1.3288696,2869.86015625,5100.0
43249.46875,2,mfj,785.0722,3400.0,3400.0
33265.20703125,3,mfj,1258.0886,5100.0,5100.0
23626.001953125,1,single,49452.492,1700.0,1700.0
224675.671875,2,mfj,0.88154393,0.0,3400.0
318589.234375,3,mfj,0.23759896,0.0,5100.0
347131.0625,4,mfj,271.642,0.0,6800.0
39303.19921875,2,mfj,152621.9,3400.0,3400.0
45960.8359375,2,mfj,548.98315,3400.0,3400.0
53070.75390625,5,mfj,38.005466,8500.0,8500.0
217345.9375,6,single,55543.32,1832.703125,10200.0
134365.34375,3,single,4015.1653,881.7328124999995,5100.0
70713.015625,1,single,8837.101,664.3492187499999,1700.0
9670.917694091797,8,single,832.80145,13600.0,13600.0
39495.8046875,1,single,328.81628,1700.0,1700.0
133244.421875,2,mfj,143.04784,1737.7789062499999,3400.0
68142.859375,1,single,525.3468,792.85703125,1700.0
53574.32421875,2,single,386.18735,3221.2837890625,3400.0
259.8481140136719,1,single,56.82108,1700.0,1700.0
19567.685546875,1,single,157.58943,1700.0,1700.0
70329.7734375,2,mfj,56.365883,3400.0,3400.0
147360.03125,4,mfj,390.5077,4431.9984375,6800.0
157328.703125,1,single,73.90126,0.0,1700.0
106606.927734375,3,mfj,145.75398,4769.65361328125,5100.0
0.0,1,single,2077.334,1700.0,1700.0
19893.658203125,4,mfj,34086.39,6800.0,6800.0
102687.84375,2,mfj,157.26845,3265.6078125,3400.0
0.0,1,single,2.5505373,1700.0,1700.0
52380.953125,3,mfj,1950.7014,5100.0,5100.0
100552.15625,3,mfj,1023.8042,5072.3921875,5100.0
0.0,1,single,2492.9858,1700.0,1700.0
244547.26953125,3,mfj,3378.9421,0.0,5100.0
57465.9140625,1,single,425.53552,1326.704296875,1700.0
183550.65625,5,mfj,23.360518,4322.467187499999,8500.0
106902.33203125,4,single,573.67505,3954.8833984374996,6800.0
300984.71875,2,mfj,269.42407,0.0,3400.0
269087.0625,2,mfj,435.7172,0.0,3400.0
31373.08984375,4,mfj,48.5228,6800.0,6800.0
0.0,1,single,4350.8047,1700.0,1700.0
360698.3984375,3,single,201.53622,0.0,5100.0
25803.925407409668,7,single,550.9285,11900.0,11900.0
20426.11328125,2,mfj,1657.5576,3400.0,3400.0
165957.8125,1,single,442.18274,0.0,1700.0
52624.30859375,3,mfj,4.9028583,5100.0,5100.0
26867.90234375,1,single,398.57147,1700.0,1700.0
436900.40625,5,mfj,28.652077,0.0,8500.0
23921.5859375,1,single,783.873,1700.0,1700.0
109677.95703125,4,mfj,340.7052,6316.1021484375,6800.0
197197.09667968747,6,single,405.66507,2840.1451660156263,10200.0
356757.625,6,mfj,36.483723,0.0,10200.0
102251.4765625,2,mfj,3.6249967,3287.426171875,3400.0
177940.671875,3,mfj,1.657896,1202.9664062499996,5100.0
45510.85546875,5,single,528.54614,8500.0,8500.0
236955.28125,2,mfj,489.10104,0.0,3400.0
0.0,2,mfj,751.4079,3400.0,3400.0
49655.36328125,1,single,741.69257,1700.0,1700.0
9875.408466339111,2,mfj,2381.6978,3400.0,3400.0
125210.03125,4,mfj,26.547386,5539.4984375,6800.0
58300.05078125,1,single,10891.902,1284.9974609375,1700.0
77523.810546875,5,single,1403.3168,7123.80947265625,8500.0
50203.11328125,4,mfj,62.12968,6800.0,6800.0
38451.609375,2,mfj,0.14716548,3400.0,3400.0
80871.26953125,4,single,5801.053,5256.4365234375,6800.0
25144.953125,1,single,171.41574,1700.0,1700.0
79796.2890625,1,single,21.438124,210.185546875,1700.0
0.0,1,single,0.960895,1700.0,1700.0
0.0,1,single,166.93256,1700.0,1700.0
18092.380859375,3,single,6168.573,5100.0,5100.0
0.0,2,single,254.083,3400.0,3400.0
0.0,5,single,173.53804,8500.0,8500.0
78042.38916015625,7,mfj,452.7265,11900.0,11900.0
0.0,2,mfj,1.5962737,3400.0,3400.0
97336.6953125,4,mfj,0.87789875,6800.0,6800.0
183759.84375,2,mfj,1.2453164,0.0,3400.0
237633.5625,8,mfj,611.8698,6718.321875,13600.0
